SCHEMES,FUND NAME, A U M,LAUNCH DATE,1 DAY,7 DAY,15 DAY,30 DAY,3 MONTH,6 MONTH,1 YEAR,2 YEAR,3 YEAR,5 YEAR,7 YEAR,10 YEAR,15 YEAR,20 YEAR,25 YEAR,SINCE INCEPTION RETURN,FUND RAT,CATEGORY,CURRENT NAV,ALPHA,BETA,MEAN,STANDARD DEV,SHARPE RATIO,SORTI I NO,FUND MANAGER,AVG MAT,MODIFIED DURATION,YTM,PURCHASE MIN AMOUNT,SIP MIN AMOUNT,LARGE CAP,MID CAP,SMALL CAP,PB RATIO,PE RATIO,EXIT LOAD, EQUITY(%), DEBT(%), GOLD(%), GLOBAL EQUITY(%), OTHER(%),RS QUARD,EXPENSE RATIO,SOV,A,AA,AAA,BIG,CASH,DOWNSIDE DEVIATION,DOWNSIDE PROBABILITY
DSP Short Term Fund Reg (G),DSP Mutual Fund,3836,09-09-2002,0.03,-0.01,0.27,0.42,1.44,2.64,7.8,7.7,7.27,5.51,6.68,6.63,7.41,7.16,,6.96,3,Debt: Short Duration,47.6979,5.61,2.76,7.13,0.99,0.87,1.43,Karan Mundhra,3.71,2.85,6.88,500,500,0,0,0,0,0,0,0,100,0,0,0,,1.01,33.34,,3.84,60.82,,2,1.2448,27.9835
DSP Silver E T F FoF (G),DSP Mutual Fund,430,15-05-2025,-2.76,2.18,3.97,-5.73,33.73,59.66,,,,,,,,,,137.61,0,Others: FoFs Domestic,16.1823,,,,,,,Anil Ghelani,,,,100,100,0,0,0,0,0,0,0,0.03,0,0,99.97,,1.02,,,,,0.03,,,
DSP Small cap Fund Reg (G),DSP Mutual Fund,16868,14-06-2007,0.76,1.55,2,3.75,4.56,8.54,5.33,15.09,21.19,25.43,20.79,16.9,17.4,,,17.65,2,Equity: Small Cap,199.875,-0.93,0.95,20.27,18.73,0.75,1.17,Vinit Sambre,,,,500,100,0,3.71,89.09,3.68,30.32,1% for redemption within 364 days,92.8,7.2,0,0,0,,1.69,,,,,,7.2,14.8302,40.5405
DSP Strategic Bond Fund (G),DSP Mutual Fund,1435,09-05-2007,-0.05,-0.32,-0.15,-0.63,0.52,-1.68,4.61,7.2,7.37,5.2,7.22,6.88,7.71,,,6.77,2,Debt: Dynamic Bond,3371.0619,-0.26,1.97,7.36,3.42,0.32,0.46,Kunal Khudania,16.77,7.18,6.75,500,500,0,0,0,0,0,0,0,100,0,0,0,,1.21,86.72,,1.86,10.98,,0.44,4.3702,40.7407
DSP Ultra Short Fund Reg Plan (G),DSP Mutual Fund,3960,31-07-2006,0.04,0.11,0.27,0.47,1.45,3,6.91,6.88,6.82,5.39,5.49,5.79,6.74,,,6.67,2,Debt: Ultra Short Duration,3482.0554,1.43,0.62,6.63,0.28,1.32,2.51,Karan Mundhra,0.64,0.49,6.5,500,500,0,0,0,0,0,0,0,99.87,0,0,0.13,,1.03,12.12,,13.07,71.5,,3.18,0.8984,6.7215
DSP US Specific Debt Passive FoF Reg (G),DSP Mutual Fund,64,18-03-2024,-0.14,-0.04,0,0.38,3.28,7.97,12.12,,,,,,,,,9.59,0,Debt: Medium to Long Duration,11.683,,,,,,,Kaivalya Nadkarni,,,,100,100,0,0,0,0,0,0.1% for redemption within 7 days,0,100,0,0,0,,0.26,,,,,99.2,0.8,,
DSP US Specific Equity Omni FoF Reg (G),DSP Mutual Fund,1091,03-08-2012,0.32,-1.67,-1.44,5.1,8.69,25.29,29.58,26.64,22.65,16.93,16.79,15.56,,,,16.12,0,Equity: Global,73.5065,,,22.05,14.66,1.08,1.59,Kaivalya Nadkarni,,,,500,500,99.04,0,0,0,0,0,0,0.96,0,99.04,0,,2.34,,,,,,0.96,11.3035,45.8636
DSP Value Fund Reg (G),DSP Mutual Fund,1197,10-12-2020,0,0.86,0.75,2.81,7.2,8.49,12.05,20.6,19.96,,,,,,,18.01,4,Equity: Value,22.832,6.39,0.65,18.98,9.91,1.28,2.03,Kaivalya Nadkarni,,,,500,500,65.73,8.01,13.72,3.24,20.82,1% for redemption within 365 days,61.3,12.54,0,26.16,0,,1.76,,,,,,8.69,,
DSP World Gold Mining Overseas Equity Omni FoF Reg (G),DSP Mutual Fund,1498,14-09-2007,0.26,1.89,6.62,-2.78,34.17,69.98,123.68,68.93,45.56,18.04,23.39,18.94,6.16,,,7.86,0,Equity: Global,45.4961,,,43.21,30.33,1.22,2.3,Kaivalya Nadkarni,,,,500,500,99.77,0,0,0,0,0,0,0.23,0,99.77,0,,2.34,,,,,,0.23,26.8287,50.6365
DSP World Mining Overseas Equity Omni FoF Reg (G),DSP Mutual Fund,169,29-12-2009,0.1,1.12,2.53,-0.04,23.25,45.85,48.27,24.75,15.1,16.3,16.43,17.36,4.8,,,5.44,0,Equity: Global,23.3362,,,19.01,22.74,0.56,1.02,Kaivalya Nadkarni,,,,500,500,98.82,0,0,0,0,0,0,1.18,0,98.82,0,,2.32,,,,,,1.18,21.1938,49.6464
Edelweiss Aggressive Hybrid Fund (G),Edelweiss Mutual Fund,3161,12-08-2009,0.31,1.05,0.63,0.46,3.62,4.32,9.76,16.88,16.88,18.24,15.35,13.07,11,,,12,5,Hybrid: Aggressive,65.23,2.92,0.86,16.22,9.66,1.03,1.49,Bharat Lahoti,0.89,0.83,6.57,100,100,53.89,11.47,12.46,3.89,25.4,"For units in excess of 10% of the investment, 1% will be charged for redemption within 90 days",77.82,22.17,0,0,0.01,,1.87,0.57,,,10.93,1.01,7.95,10.7659,43.4371
Edelweiss Arbitrage Fund Reg (G),Edelweiss Mutual Fund,16053,27-06-2014,0.02,0.15,0.32,0.41,1.32,2.9,6.35,7.01,7.08,5.79,5.68,5.86,,,,6.17,4,Hybrid: Arbitrage,19.7816,0.78,0.13,6.83,0.41,1.39,2.23,Bhavesh Jain,0.38,0.39,6.42,100,100,0,0,0,2.47,20.98,0.25% for redemption within 15 days,0,100,0,0,0,,1.07,1.54,,,6.36,11.75,1.7,0.5625,32.6586
Edelweiss Asean Equity Off-shore Fund Reg (G),Edelweiss Mutual Fund,129,01-07-2011,0.55,-0.52,-0.4,3.4,0.86,7.93,13.94,16.3,10.12,8.02,6.74,8,,,,8.29,0,Equity: Global,31.595,,,11.97,11.91,0.48,0.89,Bharat Lahoti,,,,100,100,98.6,0,0,0,0,1% for redemption within 90 days,0,1.4,0,98.6,0,,1.47,,,,,,1.4,9.7473,46.8443
Edelweiss Balanced Advantage Fund (G),Edelweiss Mutual Fund,12899,20-08-2009,0.48,1.2,0.9,1,4.61,4.42,8.05,13.44,12.45,13.09,12.83,11.13,10.54,,,10.73,3,Hybrid: Balanced Advantage,52.47,0.2,0.82,12.04,8.03,0.72,1.06,Bharat Lahoti,1.54,1.33,6.22,100,100,60.35,16.11,4.72,3.58,23.28,"For units in excess of 10% of the investment, 1% will be charged for redemption within 90 days",81.18,18.56,0,0,0.26,,1.69,1.31,,,4.58,1.24,10.1,6.4652,43.1664
Edelweiss Banking and PSU Debt Fund Reg (G),Edelweiss Mutual Fund,299,13-09-2013,-0.01,0.01,0.21,0.27,1.49,2.25,7.79,8.03,7.44,5.85,7.97,7.46,,,,7.88,1,Debt: Banking and PSU,25.1989,7.96,3.93,7.49,1.59,0.77,1.3,Dhawal Dalal,4.35,3.65,6.71,100,100,0,0,0,0,0,0,0,100,0,0,0,,0.69,9.98,,,78.31,,11.71,2.8012,35.124
Edelweiss BHARAT Bond E T F FOF April 2032 (G),Edelweiss Mutual Fund,4517,15-12-2021,-0.03,-0.02,0.04,0.24,1.93,2.62,8.52,9.09,8.51,,,,,,,6.99,0,Debt: Medium to Long Duration,13.0372,10.46,4.85,8.41,2.38,0.9,1.47,Hetul Raval,,,,0,0,0,0,0,0,0,0.1% for redemption within 30 days,0,100,0,0,0,,0.08,5.96,,,89.72,,4.32,,
Edelweiss BHARAT Bond E T F FOF April 2033 Reg (G),Edelweiss Mutual Fund,2255,14-12-2022,0.1,-0.01,0.56,0.75,2.06,2.66,8.66,9.38,,,,,,,,8.7,0,Debt: Medium to Long Duration,12.7661,,,,,,,Hetul Raval,,,,100,100,0,0,0,0,0,0.1% for redemption within 30 days,0,100,0,0,0,,0.09,,,,,99.55,0.45,,
Edelweiss BHARAT Bond FOF April 2030 (G),Edelweiss Mutual Fund,9647,30-12-2019,0.24,0.31,0.38,0.89,2.09,3.51,9.18,9.17,8.34,6.69,,,,,,7.72,0,Debt: Medium to Long Duration,15.5502,9.61,4.37,8.36,2.07,1.01,1.99,Hetul Raval,,,,0,100,0,0,0,0,0,0.1% for redemption within 30 days,0,100,0,0,0,,0.08,9.58,,,86.91,,3.51,,
Edelweiss BHARAT Bond FOF April 2031 (G),Edelweiss Mutual Fund,4722,23-07-2020,0.02,0.1,0.45,0.26,1.99,3.2,8.73,9.24,8.38,6.54,,,,,,6.38,0,Debt: Medium to Long Duration,13.9,10.6,4.95,8.36,2.36,0.89,1.43,Hetul Raval,,,,100,100,0,0,0,0,0,0.1% for redemption within 30 days,0,100,0,0,0,,0.08,,,,,99.75,0.25,,
Edelweiss BSE Internet Economy Index Fund (G),Edelweiss Mutual Fund,27,16-05-2025,1.52,2.02,0.94,0.28,4.87,12.27,,,,,,,,,,24.22,0,Equity: Index,11.3023,,,,,,,Bharat Lahoti,,,,100,100,38.27,49.64,11.78,8.73,49.58,0.1% for redemption within 30 days,99.69,0.31,0,0,0,,1.11,,,,,,0.31,,
Edelweiss Business Cycle Fund Reg (G),Edelweiss Mutual Fund,1750,29-07-2024,0.77,1.56,1.04,0.08,3.32,4.47,0.86,,,,,,,,,-7.67,0,Equity: Thematic,9.012,,,,,,,Bharat Lahoti,,,,100,100,40.59,54.48,4.62,5.34,33.61,1% for redemption within 90 days,99.68,0.32,0,0,0,,2.04,0.05,,,,,-0.02,,
Edelweiss Consumption Fund (G),Edelweiss Mutual Fund,454,20-02-2025,0.69,1.36,0.33,-0.97,5.5,6.06,,,,,,,,,,20.6,0,Equity: Thematic,11.6045,,,,,,,Dhruv Bhatia,,,,100,100,62.8,23.83,10.15,8.54,42.01,1% for redemption within 90 days,96.78,3.22,0,0,0,,2.39,,,,,,3.22,,
Edelweiss CRISIL IBX 5050 Gilt Plus SDL Jun 2027 Index Fund Reg (G),Edelweiss Mutual Fund,95,19-10-2022,0.07,0.14,0.31,0.5,1.53,3.01,7.91,7.99,7.53,,,,,,,7.74,0,Debt: Medium Duration,12.5859,6.68,3.17,7.51,1.14,1.09,1.94,Dhawal Dalal,1.59,1.55,6.01,100,100,0,0,0,0,0,0.1% for redemption within 30 days,0,100,0,0,0,,0.44,97.4,,,,,2.6,,
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL April 2037 Index Fund Reg (G),Edelweiss Mutual Fund,979,11-10-2022,0.08,0.05,0.47,-0.06,0.64,-0.33,6.84,8.63,8.23,,,,,,,8.62,0,Debt: Long Duration,12.925,12.76,6.25,8.29,2.96,0.68,0.95,Dhawal Dalal,11.04,7.85,7.18,100,100,0,0,0,0,0,0.1% for redemption within 30 days,0,100,0,0,0,,0.5,97.45,,,,,2.55,,
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Sep 2028 Index Fund Reg (G),Edelweiss Mutual Fund,147,10-11-2022,0.03,0.08,0.2,0.42,1.51,2.7,8.37,8.43,7.89,,,,,,,8,0,Debt: Medium to Long Duration,12.6715,,,,,,,Dhawal Dalal,2.67,2.49,6.32,0,0,0,0,0,0,0,0.1% for redemption within 30 days,0,100,0,0,0,,0.46,98.11,,,,,1.89,,
Edelweiss CRISIL IBX 50:50 Gilt Plus SDL Short Duration Index Fund Reg (G),Edelweiss Mutual Fund,147,15-02-2023,0.03,0.07,0.25,0.32,1.48,2.48,7.75,7.82,,,,,,,,7.63,3,Debt: Short Duration,12.2458,,,,,,,Dhawal Dalal,2.98,2.68,6.26,100,100,0,0,0,0,0,0,0,100,0,0,0,,0.6,96.61,,,,,3.39,,
Edelweiss CRISIL IBX AAA Bond NBFC HFC Jun 2027 Index Fund Reg (G),Edelweiss Mutual Fund,84,18-02-2025,0.06,0.16,0.34,0.54,1.8,3.67,,,,,,,,,,8.78,0,Debt: Short Duration,10.6666,,,,,,,Dhawal Dalal,1.62,1.53,7.04,100,100,0,0,0,0,0,0.1% for redemption within 30 days,0,100,0,0,0,,0.34,,,,94.3,,5.7,,
Edelweiss CRISIL IBX AAA Financial Services Jan 2028 Index Fund Reg (G),Edelweiss Mutual Fund,112,29-11-2024,0.05,0.12,0.3,0.51,1.8,3.58,,,,,,,,,,8.63,0,Debt: Short Duration,10.853,,,,,,,Dhawal Dalal,,,,100,100,0,0,0,0,0,0.1% for redemption within 30 days,0,100,0,0,0,,0.37,,,,93.79,,6.21,,
Edelweiss CRISIL PSU Plus SDL 50:50 Oct 2025 Index Fund Reg (G),Edelweiss Mutual Fund,0,01-01-1900,0,0,0.04,0.26,1.17,2.7,6.31,7.04,6.98,,,,,,,5.84,0,Debt: Medium Duration,12.3027,2.72,1.27,6.8,0.54,0.99,1.63,,,,,100,100,0,0,0,0,0,,0,100,0,0,0,,0,,,,,,100,,
Edelweiss ELSS Tax Saver Fund (G),Edelweiss Mutual Fund,417,30-12-2008,0.33,1.65,1.47,2.36,6.72,7.28,9.27,18.31,16.5,17.79,14.99,12.62,11.93,,,15.61,2,Equity: ELSS,115.49,0.15,0.98,15.87,13.18,0.73,1,Ashwani Kumar Agarwalla,,,,500,100,63.31,19.97,15.24,3.75,25.59,0,98.52,1.48,0,0,0,,2.34,,,,,,1.48,12.6834,41.272
Edelweiss Emerging Markets Opp Equity Offshore Fund Reg (G),Edelweiss Mutual Fund,153,07-07-2014,0.1,-0.88,-0.26,4.61,13.71,26.19,38.74,22.8,16.6,4.73,8.12,8.86,,,,6.58,0,Equity: Global,20.6593,,,20.07,15.07,0.92,1.74,Bharat Lahoti,,,,100,100,97.41,0,0,0,0,1% for redemption within 90 days,0,2.59,0,97.41,0,,1.44,,,,,,2.59,13.1648,43.6541
Edelweiss Equity Savings Fund Reg (G),Edelweiss Mutual Fund,947,13-10-2014,0.17,0.39,0.4,0.57,2.89,5.14,10.36,11.93,11.3,10.47,9.96,9.25,,,,8.99,5,Hybrid: Equity Savings,26.0231,2.44,0.46,10.81,3.62,1.25,1.7,Bharat Lahoti,1.51,1.33,6.44,100,100,14.11,5.91,3.8,2.65,22.47,0.25% for redemption within 30 days,23.83,76,0,0,0.17,,1.59,7.8,,,7.55,23.98,14.92,3.2067,43.0499
Edelweiss Europe Dynamic Equity Off-shore Fund Reg (G),Edelweiss Mutual Fund,160,07-02-2014,-0.38,1.12,1.14,2.74,4.52,13.27,39.09,25.88,22.28,15.81,13.82,9.93,,,,8.46,0,Equity: Global,26.0524,,,22.3,13.14,1.22,2.13,Bharat Lahoti,,,,100,100,96.7,0,0,0,0,1% for redemption within 90 days,0,3.3,0,96.7,0,,1.44,,,,,,3.3,15.8506,50
Edelweiss Flexi Cap Fund Reg (G),Edelweiss Mutual Fund,2842,03-02-2015,0.59,1.17,1.13,1.26,6.2,6.78,7.65,20.63,18.54,19.91,16.48,15.18,,,,13.62,4,Equity: Flexi Cap,39.684,1.96,0.98,17.77,13.34,0.86,1.19,Trideep Bhattacharya,,,,100,100,63.49,25.82,8.87,4.12,28.2,1% for redemption within 90 days,98.18,1.82,0,0,0,,1.9,,,,,,1.82,13.5148,43.4371
Edelweiss Focused Fund Reg (G),Edelweiss Mutual Fund,989,01-08-2022,0.6,0.75,0.5,0.63,4.43,2.99,6.59,18.36,16.96,,,,,,,17.16,3,Equity: Focused,16.861,1.14,0.94,16.52,12.92,0.79,1.09,Trideep Bhattacharya,,,,100,500,73.8,20.6,4.16,4.09,29.18,1% for redemption within 90 days,98.56,1.44,0,0,0,,2.18,,,,,,1.44,,
Edelweiss Gold and Silver E T F FoF Reg (G),Edelweiss Mutual Fund,850,14-09-2022,-2.04,1.27,3,-6.33,28.51,45.03,69.43,41.07,32.55,,,,,,,32.84,1,Gold: Gold Funds,24.656,-1.59,1.08,30.59,16.57,1.47,2.78,Bharat Lahoti,,,,100,100,0,0,0,0,0,0.1% for redemption within 15 days,0,0,55.06,0,44.94,,0.62,,,,,,,,
Edelweiss Government Securities Fund Reg (G),Edelweiss Mutual Fund,162,13-02-2014,-0.09,-0.51,-0.25,-1.01,0.07,-2.15,4.14,6.92,6.46,5.38,7.55,7.22,,,,7.89,3,Debt: Gilt Fund,24.4341,-1.27,0.88,6.81,3.13,0.17,0.25,Dhawal Dalal,22.83,10.38,7.05,100,100,0,0,0,0,0,0,0,100,0,0,0,,1.16,93.45,,,,,6.55,2.7911,38.5675
Edelweiss Greater China Equity Off-shore Fund Reg (G),Edelweiss Mutual Fund,2517,26-08-2009,-0.4,-1.97,-2.06,2.06,8.75,25.74,37.55,23.01,13.86,1.06,11.31,10.29,10.22,,,10.65,0,Equity: Global,51.116,,,23.47,24.44,0.7,1.5,Bharat Lahoti,,,,100,100,96.5,0,0,0,0,1% for redemption within 90 days,0,3.5,0,96.5,0,,1.64,,,,,,3.5,16.1457,43.3048
Edelweiss Income Plus Arbitrage Active FoF (G),Edelweiss Mutual Fund,213,18-07-2025,0.01,0.08,0.31,0.42,1.55,,,,,,,,,,,4.76,0,Others: FoFs Domestic,10.1761,,,,,,,Bharat Lahoti,,,,100,100,0,0,0,0,0,0,0,100,0,0,0,,0.33,,,,,99.42,0.58,,
Edelweiss Large & Mid Cap Fund Reg (G),Edelweiss Mutual Fund,4133,14-06-2007,0.55,1.58,1.21,2.06,5.13,5.99,7.25,18.06,17.85,20.1,17.35,15.21,12.96,,,12.62,3,Equity: Large & Mid Cap,89.566,1.52,1,17.03,13.65,0.79,1.06,Sumanta Khan,,,,100,100,50.47,37.26,10.32,3.96,26.98,1% for redemption within 90 days,98.05,1.95,0,0,0,,1.84,,,,,,1.95,11.9793,44.6549
Edelweiss Large Cap Fund (G),Edelweiss Mutual Fund,1337,20-05-2009,0.49,1.66,1.04,0.98,5.12,4.17,8.21,15.68,15.11,16.45,14.84,13.62,12.19,,,13.99,4,Equity: Large Cap,86.87,0.45,0.95,14.92,11.82,0.73,1.07,Bharat Lahoti,,,,100,100,83.67,11.56,3.13,3.76,24.41,1% for redemption within 90 days,98.35,1.65,0,0,0,,2.1,0.24,,,,,0.55,11.9711,42.7605
Edelweiss Liquid Fund Reg (G),Edelweiss Mutual Fund,10621,21-09-2007,0.02,0.11,0.24,0.47,1.45,3.01,6.66,7,6.93,5.64,5.64,6.02,7.01,,,6.91,4,Debt: Liquid,3413.0065,1.08,0.36,6.74,0.16,2.9,4.24,Hetul Raval,,,,100,100,0,0,0,0,0,Exit load of 0.0070% if redeemed within 1 day 0.0065% if redeemed within 2 days 0.0060% if redeemed within 3 days 0.0055% if redeemed within 4 days 0.0050% if redeemed within 5 days 0.0045% if redeemed within 6 days.,0,100,0,0,0,,0.19,19.17,,,78.78,,2.05,0.0625,0.7775
Edelweiss Low Duration Fund Reg (G),Edelweiss Mutual Fund,542,20-03-2025,0.04,0.11,0.26,0.44,1.37,2.92,,,,,,,,,,6.74,0,Debt: Low Duration,1045.8773,,,,,,,Hetul Raval,0.85,0.85,6.44,0,0,0,0,0,0,0,0,0,100,0,0,0,,1.05,0.94,,1.85,81.98,,15.23,,
Edelweiss Mid Cap Fund Reg (G),Edelweiss Mutual Fund,11731,26-12-2007,0.63,1.41,1.51,2.34,5.4,7.86,10.33,24.94,25.41,27.63,22.58,18.69,18.05,,,14.02,4,Equity: Mid Cap,104.801,1.75,0.94,23.29,15.59,1.09,1.44,Trideep Bhattacharya,,,,100,100,14.14,69.52,13.92,5.05,34.01,1% for redemption within 90 days,97.58,2.42,0,0,0,,1.68,,,,,,2.42,13.8342,40.5954
Edelweiss Money Market Fund Reg (G),Edelweiss Mutual Fund,1664,27-06-2008,0.04,0.11,0.27,0.47,1.39,2.98,6.96,6.93,6.75,5.23,6.78,6.29,6.75,,,6.33,2,Debt: Money Market,29.0929,1.76,0.84,6.59,0.32,1,2.09,Hetul Raval,0.52,0.55,6.27,100,500,0,0,0,0,0,0,0,100,0,0,0,,0.8,15.02,,,88.21,,-3.23,2.0172,33.0579
Edelweiss MSCI India Domestic & World Healthcare 45 Index Fund Reg (G),Edelweiss Mutual Fund,163,26-10-2020,0.34,2.4,3.07,2.53,5.68,10.12,9.49,20,19.06,14.87,,,,,,15.59,2,Equity: Index,20.8238,-0.91,0.7,16.85,12.3,0.86,1.57,Bhavesh Jain,,,,100,100,79.74,16.91,3.2,94.17,654.57,0,68.62,0.15,0,31.23,0,,1.06,,,,,,0.15,,
Edelweiss Multi Asset Allocation Fund Reg (G),Edelweiss Mutual Fund,2338,23-06-2023,0.03,0.18,0.33,0.37,1.45,2.65,7.63,7.84,,,,,,,,7.58,0,Hybrid: Multi-Asset,11.9211,,,,,,,Bharat Lahoti,2.95,2.59,6.69,100,100,0,0,0,2.66,19.74,0.1% for redemption within 30 days,0,100.12,-0.08,0,-0.04,,0.74,11.9,,,61.89,2.42,13.04,,
Edelweiss Multi Asset Omni FoF (G),Edelweiss Mutual Fund,259,03-09-2025,-0.1,1.17,1.27,-0.29,0,,,,,,,,,,,40.95,0,Hybrid: Multi-Asset,10.7307,,,,,,,Bharat Lahoti,,,,100,100,0,29.18,39.6,0,0,1% for redemption within 90 days,68.78,11.51,9.82,0,9.89,,1.48,,,,,10.96,0.55,,
Edelweiss Multi Cap Fund Reg (G),Edelweiss Mutual Fund,2940,25-10-2023,0.52,1.02,0.81,1.5,5.2,5.63,5.91,19.71,,,,,,,,23.36,0,Equity: Multi Cap,15.4295,,,,,,,Trideep Bhattacharya,,,,100,100,45.14,26.74,26.91,4.07,28.41,1% for redemption within 90 days,98.79,1.21,0,0,0,,1.9,,,,,,1.21,,
Edelweiss Nifty 100 Quality 30 Index Fund Reg (G),Edelweiss Mutual Fund,157,25-05-2016,0.52,1.56,1.12,0.59,5.73,3.99,5.01,13.22,14.2,-45.86,-33.79,,,,,-24.48,1,Equity: Index,14.726,-0.66,0.97,13.95,13.02,0.59,0.72,Bhavesh Jain,,,,100,0,92.97,6.9,0,5.65,25.45,0,99.87,0.13,0,0,0,,1.04,,,,,,0.13,,
Edelweiss Nifty 50 Index Fund Reg (G),Edelweiss Mutual Fund,196,08-05-2015,0.39,1.7,1.15,1.26,5.64,4.63,11.25,15.32,12.8,,,,,,,10.01,1,Equity: Index,14.8037,-1.39,0.94,12.98,11.63,0.58,0.95,Bhavesh Jain,,,,100,100,99.55,0,0.45,3.54,23.24,0,100,0,0,0,0,,0.5,,,,,,,,
Edelweiss Nifty Alpha Low Volatility 30 Index Fund Reg (G),Edelweiss Mutual Fund,150,17-05-2024,0.46,0.64,0.71,-0.35,2.97,1.06,-0.78,,,,,,,,,-0.24,0,Equity: Index,10.0419,,,,,,,Bhavesh Jain,,,,100,100,90.08,9.62,0.04,4.9,26.22,0.1% for redemption within 15 days,99.74,0.26,0,0,0,,1.1,,,,,,0.26,,
Edelweiss NIFTY Large Mid Cap 250 Index Fund Reg (G),Edelweiss Mutual Fund,296,01-12-2021,0.54,1.57,1.51,2.2,6.15,5.83,10.64,18.01,18.25,,,,,,,14.58,3,Equity: Index,17.1554,1.53,1.04,17.41,13.6,0.82,1.15,Bhavesh Jain,,,,100,100,51.01,47.04,1.94,3.68,24.5,0,99.99,0.01,0,0,0,,0.95,,,,,,0.01,,
Edelweiss Nifty Midcap150 Momentum 50 Index Fund Reg (G),Edelweiss Mutual Fund,1184,30-11-2022,0.78,1.96,2.82,3.01,5.04,4.44,2.82,18.81,,,,,,,,22.83,0,Equity: Index,18.4068,,,,,,,Bhavesh Jain,,,,0,0,13.87,85.44,0.66,5.43,34.66,0.5% for redemption within 30 days,99.97,0.03,0,0,0,,1.1,,,,,,0.03,,
Edelweiss Nifty Next 50 Index Fund Reg (G),Edelweiss Mutual Fund,164,30-11-2022,0.52,0.74,0.45,1.14,5.38,4.81,4.04,21.99,,,,,,,,17.04,0,Equity: Index,15.9483,,,,,,,Bhavesh Jain,,,,0,0,90.62,6.63,2.7,3.74,21.83,0,99.95,0.05,0,0,0,,0.74,,,,,,0.05,,
Edelweiss NIFTY PSU Bond Plus SDL Index Fund 2026 Reg (G),Edelweiss Mutual Fund,7032,18-03-2021,0.05,0.11,0.27,0.48,1.45,3.06,7.22,7.41,7.19,,,,,,,6.22,0,Debt: Medium Duration,13.2569,4.13,1.94,7.07,0.71,1.14,1.69,Dhawal Dalal,,,,100,100,0,0,0,0,0,0.1% for redemption within 30 days,0,100,0,0,0,,0.43,40.33,,,56.65,,3.02,,
Edelweiss NIFTY PSU Bond Plus SDL Index Fund 2027 Reg (G),Edelweiss Mutual Fund,2279,14-10-2021,0.05,0.13,0.28,0.48,1.54,3.12,7.89,7.99,7.5,,,,,,,6.01,0,Debt: Medium to Long Duration,12.7024,5.91,2.77,7.42,0.97,1.18,2.14,Dhawal Dalal,1.43,1.38,6.45,0,0,0,0,0,0,0,0.15% for redemption within 30 days,0,100,0,0,0,,0.43,44.93,,,52.2,,2.87,,
Edelweiss Nifty Smallcap 250 Index Fund Reg (G),Edelweiss Mutual Fund,179,30-11-2022,0.68,1.04,-0.68,0.69,3.08,4.79,1.85,14.56,,,,,,,,20.8,0,Equity: Index,17.5208,,,,,,,Bhavesh Jain,,,,0,0,0,8.59,91.41,3.82,35.26,0,100,0,0,0,0,,0.78,,,,,,,,
Edelweiss Nifty500 Multicap Momentum Quality 50 Index Fund Reg (G),Edelweiss Mutual Fund,355,31-10-2024,0.62,1.01,1.02,0.78,6.05,1.4,-3.12,,,,,,,,,-6.09,0,Equity: Index,9.3636,,,,,,,Bharat Lahoti,,,,100,100,51.6,35.11,13.25,8.2,35.82,0,99.96,0.04,0,0,0,,1.04,,,,,,0.04,,
Edelweiss Overnight Fund (G),Edelweiss Mutual Fund,158,24-07-2019,0.01,0.1,0.21,0.43,1.33,2.68,5.87,6.24,6.33,5.25,,,,,,5.01,2,Debt: Overnight,1362.6509,0.1,0.12,6.17,0.14,-0.73,-1.07,Hetul Raval,,,5.68,0,100,0,0,0,0,0,0,0,100,0,0,0,,0.16,,,,,,100,,
Edelweiss Recently Listed IPO Fund Reg (G),Edelweiss Mutual Fund,954,22-02-2018,0.93,1.66,-0.61,-0.6,3.44,7.75,4.39,12.68,17.2,18.04,18.16,,,,,13.72,0,Equity: Multi Cap,27.3398,0.45,1,16.44,17.24,0.59,0.73,Bharat Lahoti,,,,100,0,2.05,19.1,72.21,5.5,45.39,2% for redemption within 180 days,93.37,6.63,0,0,0,,2.25,0.23,,,,,4.77,,
Edelweiss SIF Altiva Hybrid Long-Short Fund Reg (G),Edelweiss SIF Mutual Fund,,,0.07,0.18,0.55,0.7,0,,,,,,,,,,,5.59,,SIF: Hybrid LS,10.0703,,,,,,,,,,,0,0,,,,,,,100,0,0,0,0,,,,,,,,,,
Edelweiss Small Cap Fund (G),Edelweiss Mutual Fund,5057,07-02-2019,0.59,1.28,0.34,1.47,3.51,6.21,4.06,14.86,20.47,27,,,,,,24.41,3,Equity: Small Cap,44.497,0.63,0.82,19.84,15.89,0.85,1.18,Dhruv Bhatia,,,,0,100,1.16,29.03,68.1,4.38,31.25,1% for redemption within 90 days,98.29,1.71,0,0,0,,1.81,,,,,,1.71,,
Edelweiss Technology Fund Reg (G),Edelweiss Mutual Fund,682,05-03-2024,-0.12,0.79,-0.62,2.03,4.86,8.3,2.66,,,,,,,,,12.29,0,Equity: Sectoral,12.1831,,,,,,,Sumanta Khan,,,,100,100,68.72,18.51,9.22,7.35,33.77,1% for redemption within 90 days,68.3,3.55,0,28.15,0,,2.29,,,,,,3.55,,
